,Open,High,Low,Close,Volume
2023-01-30 14:06:00,220.873,221.063,220.813,221.016,300.0
2023-01-30 14:05:00,220.961,220.989,220.823,220.866,350.0
2023-01-30 14:04:00,221.079,221.107,220.96,221.003,1021.0
2023-01-30 14:00:00,220.952,220.98,220.872,220.915,200.0
2023-01-30 13:59:00,221.025,221.058,220.965,221.013,400.0
2023-01-30 13:58:00,221.158,221.186,220.882,221.003,1330.0
2023-01-30 13:57:00,220.961,220.989,220.902,220.944,100.0
2023-01-30 13:56:00,221.089,221.117,220.951,220.993,200.0
2023-01-30 13:55:00,221.192,221.22,221.132,221.175,100.0
2023-01-30 13:54:00,221.124,221.152,221.064,221.107,151.0
2023-01-30 13:50:00,221.251,221.279,221.191,221.234,3358.0
2023-01-30 13:48:00,221.246,221.274,221.186,221.229,100.0
2023-01-30 13:46:00,221.246,221.274,221.186,221.229,100.0
2023-01-30 13:44:00,221.364,221.392,221.068,221.111,1640.0
2023-01-30 13:43:00,221.266,221.294,221.108,221.15,217.0
2023-01-30 13:41:00,221.344,221.372,221.284,221.327,100.0
2023-01-30 13:39:00,221.403,221.431,221.343,221.386,200.0
2023-01-30 13:38:00,221.344,221.372,221.284,221.327,100.0
2023-01-30 13:37:00,221.442,221.47,221.382,221.425,103.0
2023-01-30 13:36:00,221.619,221.647,221.559,221.602,100.0
2023-01-30 13:34:00,221.599,221.628,221.539,221.582,200.0
2023-01-30 13:30:00,221.683,221.711,221.618,221.661,500.0
2023-01-30 13:27:00,221.766,221.814,221.618,221.661,420.0
2023-01-30 13:25:00,221.904,221.932,221.843,221.886,340.0
2023-01-30 13:17:00,221.81,221.863,221.75,221.818,200.0
2023-01-30 13:16:00,221.727,221.863,221.662,221.712,700.0
2023-01-30 13:15:00,221.619,221.647,221.559,221.602,100.0
2023-01-30 13:11:00,221.84,221.868,221.78,221.823,111.0
2023-01-30 13:10:00,221.845,221.932,221.785,221.886,200.0
2023-01-30 13:09:00,221.962,221.991,221.883,221.926,200.0
2023-01-30 13:05:00,222.065,222.094,222.005,222.048,100.0
2023-01-30 13:03:00,222.1,222.128,222.0,222.063,700.0
2023-01-30 13:01:00,222.061,222.089,222.0,222.043,100.0
2023-01-30 12:59:00,222.168,222.197,222.108,222.151,100.0
2023-01-30 12:55:00,222.149,222.305,222.089,222.259,280.0
2023-01-30 12:52:00,222.124,222.153,222.064,222.107,200.0
2023-01-30 12:49:00,222.168,222.197,222.099,222.147,300.0
2023-01-30 12:48:00,222.267,222.295,222.206,222.25,300.0
2023-01-30 12:47:00,222.326,222.354,222.265,222.308,100.0
2023-01-30 12:46:00,222.473,222.501,222.354,222.397,282.0
2023-01-30 12:22:00,222.326,222.354,222.265,222.308,100.0
2023-01-30 12:21:00,222.237,222.266,222.177,222.22,300.0
2023-01-30 12:16:00,222.487,222.516,222.427,222.47,100.0
2023-01-30 12:15:00,222.517,222.545,222.457,222.5,100.0
2023-01-30 12:14:00,222.355,222.383,222.295,222.338,100.0
2023-01-30 12:13:00,222.389,222.418,222.197,222.24,200.0
2023-01-30 12:02:00,222.218,222.246,222.157,222.201,100.0
2023-01-30 11:57:00,221.852,221.88,221.792,221.835,100.0
2023-01-30 11:56:00,221.707,221.883,221.647,221.837,252.0
2023-01-30 11:55:00,221.756,221.785,221.605,221.661,400.0
2023-01-30 11:50:00,221.835,221.863,221.775,221.818,100.0
2023-01-30 11:45:00,221.992,222.02,221.932,221.975,100.0
2023-01-30 11:43:00,222.149,222.177,222.089,222.132,100.0
2023-01-30 11:42:00,222.296,222.324,222.236,222.279,200.0
2023-01-30 11:41:00,222.227,222.256,222.167,222.21,134.0
